年份,变量,均值,中位数,标准差,最小值,最大值,样本量
2018,ROE,0.015362790070629915,0.0706046877935447,0.342690402466512,-2.4901446471031172,0.360518070379151,3906
2018,SLoan,0.11470460939364124,0.09501748696145154,0.09288414542841125,0.0006316197837822,0.4207873545233191,3004
2018,LLoan,0.071118967880188,0.0441810505196804,0.07913108277371475,0.0,0.3864085565874831,2054
2018,Top1,0.3341632443133951,0.310586,0.1462191580276581,0.030029,0.89093,3561
2018,HHI5,0.1547502350367439,0.126717,0.10946529904473992,0.01571392,0.5436935400000006,3538
2018,Size,22.18460098570613,22.045488059921063,1.6407020862500261,16.649227447573086,30.952436922485756,3930
2018,Age,9.907125307125307,9.0,6.8681879876709155,0.0,19.0,4070
2019,Lev,0.4308076524100439,0.4153339036006946,0.2109705522969684,0.0603581170786502,0.93028324476895,4095
2019,SL,0.34079533336091816,0.32367512631162876,0.17527267749171194,0.041853589004693,0.8065573654482097,4010
2019,LL,0.0824148537891464,0.0451021110482351,0.09435128938528656,0.0002419887683177,0.4348510557099926,3917
2019,SDR,0.8233264019900519,0.8745386324084381,0.1714967495942747,0.2679794760068813,1.0,4010
2019,Cash,0.1705531205712302,0.1387921347868777,0.1233225747218836,0.0108385436523522,0.6192378180333822,4059
2019,ROA,0.029768162487955926,0.0373254666036522,0.09768600569177148,-0.4937429982917213,0.2204214552121227,4095
2019,ROE,0.020906394850686506,0.072007055442112,0.3117166496086963,-2.235495071130544,0.34232362285415,4095
2019,SLoan,0.10797036238607746,0.08419221678969385,0.09325756283393151,0.0002041489499805,0.415193682684974,3152
2019,LLoan,0.07109938420243599,0.0449683442916733,0.07719220192608595,0.0,0.3712735957948783,2187
2019,Top1,0.32885501465494266,0.302994,0.14705579343956035,0.030029,0.8823529999999999,3753
2019,HHI5,0.1516736418524502,0.12019550000000001,0.11022471208075926,0.01524796,0.54021922,3714
2019,Size,22.216057115599757,22.04347141324805,1.6370380013751538,17.260891612728262,31.03585972692826,4135
2019,Age,9.77366798767063,9.0,7.304062917341969,0.0,20.0,4542
2020,Lev,0.4208497013405408,0.407975551817444,0.21165356182340783,0.0571156996221551,0.9300757183221072,4545
